Frame Info: 
Type,Depth
Format,Z16
Frame Number,3957
Timestamp (ms),1700038353885.67
Resolution x,1280
Resolution y,720
Bytes per pixel,2

Intrinsic:,
Fx,635.861023
Fy,635.861023
PPx,641.331360
PPy,349.101257
Distorsion,Brown Conrady
